"imdb_id","name","birthday (YYYY-MM-DD)"
"nm0757855","Zoe Saldana","1978-06-19"
"nm0881631","Karl Urban","1972-06-07"
"nm0670408","Simon Pegg","1970-02-14"
"nm0158626","John Cho","1972-06-16"
"nm0947338","Anton Yelchin","1989-03-11"
"nm0051509","Eric Bana","1968-08-09"
"nm0339304","Bruce Greenwood","1956-08-12"
"nm0000213","Winona Ryder","1971-10-29"
"nm1212722","Benedict Cumberbatch","1976-07-19"
"nm1404408","Alice Eve","1982-02-06"
"nm0000693","Peter Weller","1947-06-24"
"nm0252961","Idris Elba","1972-09-06"
"nm1154749","Sofia Boutella","1982-04-03"
"nm0013037","Shohreh Aghdashloo","1952-05-11"
"nm0000554","Sam Neill","1947-09-14"
"nm0000368","Laura Dern","1967-02-10"
"nm0000156","Jeff Goldblum","1952-10-22"
"nm0000277","Richard Attenborough","1923-08-29"
"nm0000703","BD Wong","1960-10-24"
"nm0001515","Joseph Mazzello","1983-09-21"
"nm0000611","Ariana Richards","1979-09-11"
"nm0669629","Bob Peck","1945-08-23"
"nm0274684","Martin Ferrero","1947-09-13"
"nm0000194","Julianne Moore","1960-12-03"
"nm0000592","Pete Postlethwaite","1946-02-07"
"nm0397124","Arliss Howard","1954-10-18"
"nm0771493","Richard Schiff","1955-05-27"
"nm0156345","Vanessa Lee Chester","1984-07-02"
"nm0000513","William H. Macy","1950-03-13"
"nm0000495","Téa Leoni","1966-02-25"
"nm0605080","Trevor Morgan","1986-11-26"
"nm0005273","Alessandro Nivola","1972-06-28"
"nm0005052","Michael Jeter","1952-08-26"
"nm0171868","Mark Collie","1956-01-18"
"nm0695435","Chris Pratt","1979-06-21"
"nm0397171","Bryce Dallas Howard","1981-03-02"
"nm0451234","Irrfan Khan","1967-01-07"
"nm0000352","Vincent D'Onofrio","1959-06-30"
"nm3538718","Nick Robinson","1995-03-22"
"nm1339223","Ty Simpkins","2001-08-06"
"nm1082477","Omar Sy","1978-01-20"
"nm1245863","Rafe Spall","1983-03-10"
"nm0429363","Toby Jones","1966-09-07"
"nm0505971","Ted Levine","1957-05-29"
"nm6819854","Justice Smith","1995-08-09"
"nm9830820","Isabella Sermon","2006-07-08"
"nm1986622","DeWanda Wise","1984-05-30"
"nm6974206","Mamoudou Athie","1988-07-25"
"nm1901842","Dichen Lachman","1982-02-22"
"nm0000129","Tom Cruise","1962-07-03"
"nm0000685","Jon Voight","1938-12-29"
"nm0000322","Emmanuelle Béart","1963-08-14"
"nm0001089","Henry Czerny","1959-02-08"
"nm0000606","Jean Reno","1948-07-30"
"nm0000609","Ving Rhames","1959-05-12"
"nm0000218","Kristin Scott Thomas","1960-05-24"
"nm0200848","Ingeborga Dapkunaiti","1963-01-20"
"nm0779084","Dougray Scott","1965-11-25"
"nm0628601","Thandiwe Newton","1972-11-06"
"nm0000164","Anthony Hopkins","1937-12-31"
"nm0746896","Richard Roxburgh","1962-01-23"
"nm0689852","John Polson","1965-09-06"
"nm0000450","Philip Seymour Hoffman","1967-07-23"
"nm1157358","Michelle Monaghan","1976-03-23"
"nm0001082","Billy Crudup","1968-07-08"
"nm0005392","Keri Russell","1976-03-23"
"nm0719637","Jeremy Renner","1971-01-07"
"nm1745736","Paula Patton","1975-12-05"
"nm0438463","Anil Kapoor","1956-12-24"
"nm0638824","Michael Nyqvist","1960-11-08"
"nm0272581","Rebecca Ferguson","1983-10-19"
"nm0000285","Alec Baldwin","1958-04-03"
"nm0365317","Sean Harris","1966-01-01"
"nm0147147","Henry Cavill","1983-05-05"
"nm0000291","Angela Bassett","1958-08-16"
"nm2017943","Hayley Atwell","1982-04-05"
"nm2962353","Pom Klementieff","1986-05-03"
"nm0000474","Michael Keaton","1951-09-05"
"nm0000197","Jack Nicholson","1937-04-22"
"nm0000107","Kim Basinger","1953-12-08"
"nm0943237","Robert Wuhl","1951-10-09"
"nm0385757","Pat Hingle","1924-07-19"
"nm0001284","Michael Gough","1916-11-23"
"nm0355717","Jerry Hall","1956-07-02"
"nm0000362","Danny DeVito","1944-11-17"
"nm0000201","Michelle Pfeiffer","1958-04-29"
"nm0000686","Christopher Walken","1943-03-31"
"nm0000174","Val Kilmer","1959-12-31"
"nm0000169","Tommy Lee Jones","1946-09-15"
"nm0000120","Jim Carrey","1962-01-17"
"nm0000173","Nicole Kidman","1967-06-20"
"nm0000563","Chris O'Donnell","1970-06-26"
"nm0000106","Drew Barrymore","1975-02-22"
"nm0000123","George Clooney","1961-05-06"
"nm0000224","Alicia Silverstone","1976-10-04"
"nm0000235","Uma Thurman","1970-04-29"
"nm0000323","Michael Caine","1933-03-14"
"nm0000198","Gary Oldman","1958-03-21"
"nm0614165","Cillian Murphy","1976-05-25"
"nm0005017","Katie Holmes","1978-12-18"
"nm0000151","Morgan Freeman","1937-06-01"
"nm0005132","Heath Ledger","1979-04-04"
"nm0001173","Aaron Eckhart","1968-03-12"
"nm0350454","Maggie Gyllenhaal","1977-11-16"
"nm0362766","Tom Hardy","1977-09-15"
"nm0004266","Anne Hathaway","1982-11-12"
"nm0330687","Joseph Gordon-Levitt","1981-02-17"
"nm0000255","Ben Affleck","1972-08-15"
"nm0010736","Amy Adams","1974-08-20"
"nm0251986","Jesse Eisenberg","1983-10-05"
"nm2933757","Gal Gadot","1985-04-30"
"nm0000460","Jeremy Irons","1948-09-19"
"nm1500155","Robert Pattinson","1986-05-13"
"nm2368789","Zoe Kravitz","1988-12-01"
"nm0942482","Jeffrey Wright","1965-12-07"
"nm0268199","Colin Farrell","1976-05-31"
"nm0200452","Paul Dano","1984-06-19"
"nm0001806","John Turturro","1957-02-28"
"nm0001073","Courteney Cox","1964-06-15"
"nm0005159","Tone Loc","1966-03-03"
"nm0000707","Sean Young","1959-11-20"
"nm0000139","Cameron Diaz","1972-08-30"
"nm0726200","Peter Riegert","1947-04-11"
"nm0825401","Ben Stein","1944-11-25"
"nm0001099","Jeff Daniels","1955-02-19"
"nm0000452","Lauren Holly","1963-10-28"
"nm0240565","Karen Duffy","1962-05-23"
"nm0005491","Maura Tierney","1965-02-03"
"nm0178176","Justin Cooper","1988-11-17"
"nm0000111","Matthew Broderick","1962-03-21"
"nm0001774","Ben Stiller","1965-11-30"
"nm0000438","Ed Harris","1950-11-28"
"nm0001473","Laura Linney","1964-02-05"
"nm0001187","Noah Emmerich","1965-02-27"
"nm0316079","Paul Giamatti","1967-06-06"
"nm0000098","Jennifer Aniston","1969-02-11"
"nm0001311","Philip Baker Hall","1931-09-10"
"nm0000701","Kate Winslet","1975-10-05"
"nm0929489","Tom Wilkinson","1948-02-05"
"nm0000266","Ursula Andress","1936-03-19"
"nm0936476","Joseph Wiseman","1918-05-15"
"nm0496866","Bernard Lee","1908-01-10"
"nm0561755","Lois Maxwell","1927-02-14"
"nm0520437","Jack Lord","1920-07-30"
"nm0551243","Zena Marshall","1925-01-17"
"nm0457839","John Kitzmiller","1913-12-04"
"nm0206060","Anthony Dawson","1916-01-24"
"nm0493872","George Lazenby","1939-09-05"
"nm0001671","Diana Rigg","1938-07-20"
"nm0001699","Telly Savalas","1922-01-21"
"nm0000549","Roger Moore","1927-10-14"
"nm0001762","Jill St. John","1940-08-19"
"nm0005412","Jane Seymour","1951-02-15"
"nm0001433","Yaphet Kotto","1939-11-15"
"nm0336509","Charles Gray","1928-08-29"
"nm0416378","Clifton James","1920-05-29"
"nm0001423","Richard Kiel","1939-09-13"
"nm0007042","Herbert Lom","1917-09-11"
"nm0000819","Barbara Bach","1947-08-27"
"nm0003909","Michael Lonsdale","1931-05-24"
"nm0093391","Emily Bolton","1951-07-13"
"nm0000962","Carole Bouquet","1957-03-23"
"nm0867694","Topol","1935-05-09"
"nm0002103","Julian Glover","1935-03-27"
"nm0001881","Maryam d'Abo","1960-01-27"
"nm0005063","Grace Jones","1948-05-19"
"nm0001495","Patrick Macnee","1922-02-06"
"nm0001096","Timothy Dalton","1946-03-21"
"nm0469103","Jeroen Krabbe","1944-12-05"
"nm0001108","Robert Davi","1953-06-26"
"nm0000508","Carey Lowell","1961-02-06"
"nm0114543","Robert Brown","1921-05-23"
"nm0001875","Anthony Zerbe","1936-06-20"
"nm0373314","David Hedison","1927-05-31"
"nm0000112","Pierce Brosnan","1953-05-16"
"nm0001713","Izabella Scorupco","1970-06-04"
"nm0000293","Sean Bean","1959-04-17"
"nm0000833","Joe Don Baker","1936-02-12"
"nm0000706","Michelle Yeoh","1962-08-06"
"nm0000596","Jonathan Pryce","1947-06-01"
"nm0827170","Toby Stephens","1969-06-21"
"nm0000612","Denise Richards","1971-02-17"
"nm0000092","John Cleese","1939-10-27"
"nm0000932","Halle Berry","1966-08-14"
"nm0001132","Judi Dench","1934-12-09"
"nm0365140","Naomie Harris","1976-09-06"
"nm0498449","Will Yun Lee","1971-12-22"
"nm0950935","Rick Yune","1971-08-22"
"nm0000514","Michael Madsen","1957-09-25"
"nm0185819","Daniel Craig","1968-03-02"
"nm1200692","Eva Green","1980-07-06"
"nm0159802","Jesper Christensen","1948-05-16"
"nm0316284","Giancarlo Giannini","1942-08-01"
"nm1385871","Olga Kurylenko","1979-11-14"
"nm2966102","Bérénice Marlohe","1979-05-19"
"nm0000849","Javier Bardem","1969-03-01"
"nm0000568","Frank Oz","1944-05-25"
"nm0000278","Pernilla August","1958-02-13"
"nm0078886","Ahmed Best","1973-08-19"
"nm0661917","Ray Park","1974-08-23"
"nm0000654","Terence Stamp","1938-07-22"
"nm0000996","LeVar Burton","1957-02-16"
"nm0000642","Marina Sirtis","1955-03-29"
"nm0000696","Wil Wheaton","1972-07-29"
"nm0000027","Alec Guinness","1914-04-02"
"nm0001088","Peter Cushing","1913-05-26"
"nm0001544","Ricardo Montalban","1920-11-25"
"nm0120116","Jeremy Bulloch","1945-02-16"
"nm0000532","Malcolm McDowell","1943-06-13"
"nm0078252","Peter Burton","1921-04-04"
"nm0000938","Daniela Bianchi","1932-01-31"
"nm0001727","Robert Shaw","1927-08-09"
"nm0000784","Pedro Armendáriz","1916-05-06"
"nm0005155","Desmond Llewelyn","1914-09-12"
"nm0000936","Martine Beswick","1941-05-26"
"nm0348518","Aliza Gur","1936-06-28"
"nm0002085","Gert Frobe","1913-02-25"
"nm0000303","Honor Blackman","1925-08-22"
"nm0247881","Shirley Eaton","1937-01-12"
"nm0577996","Michael Mellinger","1929-05-30"
"nm0072578","Martin Benson","1918-08-10"
"nm0000805","Claudine Auger","1941-04-26"
"nm0148041","Adolfo Celi","1922-07-27"
"nm0658885","Luciana Paluzzi","1937-06-10"
"nm0887607","Rik Van Nutter","1929-06-01"
"nm0233312","Karin Dor","1938-02-22"
"nm0000587","Donald Pleasence","1919-10-05"
"nm0793574","Teru Shimada","1905-12-12"
"nm0906686","Akiko Wakabayashi","1939-01-26"
"nm0357240","Mie Hama","1943-11-20"
"nm0048468","George Baker","1931-04-01"
"nm0365139","Naomi Harris","1966-09-06"
"nm0275213","Gabriele Ferzetti","1925-03-17"
"nm0827375","Ilse Steppat","1923-09-13"
"nm0636075","Virginia North","1940-11-19"
"nm0123680","Norman Burton","1923-02-15"
"nm0000726","Maud Adams","1945-02-12"
"nm0432007","Curt Jürgens","1915-12-13"
"nm0613098","Caroline Munro","1949-01-16"
"nm0001042","Lois Chiles","1947-04-15"
"nm0431139","Louis Jourdan","1921-06-19"
"nm0000617","Tanya Roberts","1949-10-15"
"nm0088504","Caroline Bliss","1961-07-12"
"nm0094039","Samantha Bond","1961-11-27"
"nm0001015","Robert Carlyle","1961-04-14"
"nm0539562","Art Malik","1952-11-13"
"nm0023832","Mathieu Amalric","1965-10-25"
"nm0000146","Ralph Fiennes","1962-12-22"
"nm0910607","Christoph Waltz","1956-10-04"
"nm2244205","Léa Seydoux","1985-07-01"
"nm0778831","Andrew Scott","1976-10-21"
"nm0000899","Monica Bellucci","1964-09-30"
"nm1785339","Rami Malek","1981-05-12"
"nm0924210","Ben Whishaw","1980-10-14"
"nm1869101","Ana de Armas","1988-04-30"
"nm1209966","Oscar Isaac","1979-03-09"
"nm0785227","Andy Serkis","1964-04-20"
"nm2143282","Lupita Nyong'o","1983-03-01"
"nm1727304","Domhnall Gleeson","1983-05-12"
"nm3729225","Gwendoline Christie","1978-10-28"
"nm4511652","Kelly Marie Tran","1989-01-17"
"nm0001125","Benicio del Toro","1967-02-19"
"nm6609666","Billie Lourd","1992-07-17"
"nm6934058","Joonas Suotamo","1986-10-03"
"nm1054648","Amanda Lawrence","1971-01-01"
"nm1835544","Jimmy Vee","1959-11-05"
"nm6934058","Joonas Suotamo","1986-10-03"
"nm0000166","Helen Hunt","1963-06-15"
"nm0001610","Elizabeth Perkins","1960-11-18"
"nm0005162","Robert Loggia","1930-01-03"
"nm0001334","John Heard","1946-03-07"
"nm0001484","Jon Lovitz","1957-07-21"
"nm0000212","Meg Ryan","1961-11-19"
"nm0000597","Bill Pullman","1953-12-17"
"nm0005280","Rosie O'Donnell","1962-03-21"
"nm0001854","Rita Wilson","1956-10-26"
"nm0001255","Victor Garber","1949-03-16"
"nm0001744","Tom Sizemore","1961-11-29"
"nm0122653","Edward Burns","1968-01-29"
"nm0001608","Barry Pepper","1970-04-04"
"nm0004965","Adam Goldberg","1970-10-25"
"nm0004874","Vin Diesel","1967-07-18"
"nm0000610","Giovanni Ribisi","1974-12-17"
"nm0000354","Matt Damon","1970-10-08"
"nm0001101","Ted Danson","1947-12-29"
"nm0000209","Tim Robbins","1958-10-16"
"nm0348409","Bob Gunton","1945-11-15"
"nm0006669","William Sadler","1950-04-13"
"nm0000317","Clancy Brown","1959-01-05"
"nm0000237","John Travolta","1954-02-18"
"nm0000246","Bruce Willis","1955-03-19"
"nm0001625","Amanda Plummer","1957-03-23"
"nm0000233","Quentin Tarantino","1963-03-27"
"nm0000705","Robin Wright","1966-04-08"
"nm0000641","Gary Sinise","1955-03-17"
"nm0000398","Sally Field","1946-11-06"
"nm0001570","Edward Norton","1969-08-18"
"nm0000093","Brad Pitt","1963-12-18"
"nm0000307","Helena Bonham Carter","1966-05-26"
"nm0001533","Meat Loaf","1947-09-27"
"nm0001467","Jared Leto","1971-12-26"
"nm0000138","Leonardo DiCaprio","1974-11-11"
"nm0913822","Ken Watanabe","1959-10-21"
"nm0680983","Elliot Page","1987-02-21"
"nm2438307","Dileep Rao","1973-07-29"
"nm0000190","Matthew McConaughey","1969-11-04"
"nm1567113","Jessica Chastain","1977-03-24"
"nm0000729","Casey Affleck","1975-08-12"
"nm0004747","Wes Bentley","1978-09-04"
"nm0001475","John Lithgow","1945-10-19"
"nm3154303","Timothée Chalamet","1995-12-27"
"nm0000643","Tom Skerritt","1933-08-25"
"nm0001021","Veronica Cartwright","1949-04-20"
"nm0001765","Harry Dean Stanton","1926-07-14"
"nm0000457","John Hurt","1940-01-22"
"nm0000453","Ian Holm","1931-09-12"
"nm1325419","Kristen Wiig","1973-08-22"
"nm0565250","Melissa McCarthy","1970-08-26"
"nm0571952","Kate McKinnon","1984-01-06"
"nm0428656","Leslie Jones","1967-09-07"
"nm1165110","Chris Hemsworth","1983-08-11"
"nm0040472","William Atherton","1947-07-30"
"nm0001493","Peter MacNicol","1954-04-10"
"nm0001343","Carrie Henn","1976-05-07"
"nm0001663","Paul Reiser","1956-03-30"
"nm0000448","Lance Henriksen","1940-05-05"
"nm0000200","Bill Paxton","1955-05-17"
"nm0394054","William Hope","1955-03-02"
"nm0001165","Charles S. Dutton","1951-01-30"
"nm0001097","Charles Dance","1946-10-10"
"nm0001524","Paul McGann","1959-11-14"
"nm0323093","Brian Glover","1934-04-02"
"nm0114460","Ralph Brown","1957-06-18"
"nm0684500","Dominique Pinon","1955-03-04"
"nm0000579","Ron Perlman","1950-04-13"
"nm0235427","Gary Dourdan","1966-12-11"
"nm0000699","Michael Wincott","1958-01-21"
"nm0851582","Audrey Tautou","1976-08-09"
"nm0440913","Mathieu Kassovitz","1967-08-03"
"nm0749363","Rufus","1942-12-19"
"nm0581014","Serge Merlin","1932-12-29"
"nm0213354","Jamel Debbouze","1975-06-18"
"nm0597042","Clotilde Mollet","1963-04-09"
"nm0000614","Alan Rickman","1946-02-21"
"nm0324231","Alexander Godunov","1949-11-28"
"nm0000889","Bonnie Bedelia","1948-03-25"
"nm0001817","Reginald VelJohnson","1952-08-16"
"nm0025309","John Amos","1939-12-27"
"nm0626259","Franco Nero","1941-11-23"
"nm0117365","Larry Bryggman","1938-12-21"
"nm0001295","Graham Greene","1952-06-22"
"nm0669625","Anthony Peck","1947-03-20"
"nm0648249","Timothy Olyphant","1968-05-20"
"nm0519043","Justin Long","1978-06-02"
"nm0193295","Cliff Curtis","1968-07-27"
"nm0935541","Mary Elizabeth Winstead","1984-11-28"
"nm0003620","Kevin Smith","1970-08-02"
"nm2541974","Jai Courtney","1986-03-15"
"nm0462407","Sebastian Koch","1962-05-31"
"nm2568364","Yuliya Snigir","1983-06-02"
"nm1366568","Radivoje Bukvić","1979-11-11"
"nm0000136","Johnny Depp","1963-06-09"
"nm0001691","Geoffrey Rush","1951-07-06"
"nm0089217","Orlando Bloom","1977-01-13"
"nm0461136","Keira Knightley","1985-03-26"
"nm0202603","Jack Davenport","1973-03-01"
"nm0573618","Kevin McNally","1956-04-27"
"nm0001745","Stellan Skarsgård","1951-06-13"
"nm0631490","Bill Nighy","1949-12-12"
"nm0004851","Penélope Cruz","1974-04-28"
"nm0574534","Ian McShane","1942-09-29"
"nm0724189","Keith Richards","1943-12-18"
"nm4154798","Brenton Thwaites","1989-08-10"
"nm2546012","Kaya Scodelario","1992-03-13"
"nm0005200","Paul McCartney","1942-06-18"
"nm0002332","Stephen Lang","1952-07-11"
"nm0735442","Michelle Rodriguez","1978-07-12"
"nm1289434","Emily Blunt","1983-02-23"
"nm0000375","Robert Downey Jr.","1965-04-04"
"nm6073955","Florence Pugh","1996-01-03"
"nm0001326","Josh Hartnett","1978-07-21"
"nm0000110","Kenneth Branagh","1960-12-10"
"nm0000128","Russell Crowe","1964-04-07"
"nm0001602","Guy Pearce","1967-10-05"
"nm0000342","James Cromwell","1940-01-27"
"nm0000657","David Strathairn","1949-01-26"
"nm0005286","Haley Joel Osment","1988-04-10"
"nm0001057","Toni Collette","1972-11-01"
"nm0931404","Olivia Williams","1968-07-26"
"nm0005531","Donnie Wahlberg","1969-08-17"
"nm0001016","David Carradine","1936-12-08"
"nm0000435","Daryl Hannah","1960-12-03"
"nm0514904","Gordon Liu Chia-Hui","1951-08-22"
"nm0662981","Michael Parks","1940-04-24"
"nm1549503","Perla Haney-Jardine","1997-07-17"
"nm0000407","Vivica A. Fox","1964-07-30"
"nm0005154","Lucy Liu","1968-12-02"
"nm0237838","Julie Dreyfus","1966-01-24"
"nm0002002","Sonny Chiba","1939-01-23"
"nm0000124","Jennifer Connelly","1970-12-12"
"nm0079273","Paul Bettany","1971-05-27"
"nm0001626","Christopher Plummer","1929-12-13"
"nm0000640","Martin Sheen","1940-08-03"
"nm0000882","Nathalie Baye","1948-07-06"
"nm0000245","Robin Williams","1951-07-21"
"nm0000494","Robert Sean Leonard","1969-02-28"
"nm0000160","Ethan Hawke","1970-11-06"
"nm0001038","Josh Charles","1971-09-15"
"nm0360796","Gale Hansen","1960-01-08"
"nm0000442","Rutger Hauer","1944-01-23"
"nm0001579","Edward James Olmos","1947-02-24"
"nm0001826","M. Emmet Walsh","1935-03-22"
"nm0001702","Roy Scheider","1932-11-10"
"nm0000377","Richard Dreyfuss","1947-10-29"
"nm0308882","Lorraine Gary","1937-08-16"
"nm0358069","Murray Hamilton","1923-03-24"
"nm0000313","Jeff Bridges","1949-12-04"
"nm0000422","John Goodman","1952-06-20"
"nm0000114","Steve Buscemi","1957-12-13"
"nm0399663","David Huddleston","1930-09-17"
"nm0005346","Tara Reid","1975-11-08"
"nm0000309","David Bowie","1947-01-08"
"nm0296614","Toby Froud","1984-06-27"
"nm0860712","Shelley Thompson","1959-03-09"
"nm0539095","Christopher Malcolm","1946-08-19"
"nm0000276","Sean Astin","1971-02-25"
"nm0000982","Josh Brolin","1968-02-12"
"nm0169480","Jeff Cohen","1976-06-25"
"nm0000397","Corey Feldman","1971-07-16"
"nm0338061","Kerri Green","1967-01-14"
"nm0000144","Cary Elwes","1962-10-26"
"nm0001597","Mandy Patinkin","1952-11-30"
"nm0001697","Chris Sarandon","1942-07-24"
"nm0001302","Christopher Guest","1948-02-05"
"nm0000764","André Roussimoff","1946-05-19"
"nm0000393","Peter Falk","1927-09-16"
"nm0000345","Billy Crystal","1948-03-14"
"nm0000149","Jodie Foster","1962-11-19"
"nm0000249","James Woods","1947-04-18"
"nm0001427","Greg Kinnear","1963-06-17"
"nm0000205","Parker Posey","1968-11-08"
"nm0122688","Heather Burns","1975-04-07"
"nm0152638","Dave Chappelle","1973-08-24"
"nm0515296","Ron Livingston","1967-06-05"
"nm0379114","David Herman","1967-02-20"
"nm0619651","Ajay Naidu","1972-02-12"
"nm0046033","Diedrich Bader","1966-12-24"
"nm0000491","John Leguizamo","1960-07-22"
"nm0000980","Jim Broadbent","1949-05-24"
"nm0296545","Nick Frost","1972-03-28"
"nm0038918","Kate Ashfield","1972-05-28"
"nm0205063","Lucy Davis","1973-02-17"
"nm0602836","Dylan Moran","1971-11-03"
"nm0293509","Martin Freeman","1971-09-08"
"nm0175916","Paddy Considine","1973-09-05"
"nm0550371","Eddie Marsan","1968-06-09"
"nm3513533","Stephanie Hsu","1990-11-25"
"nm0393222","James Hong","1929-02-22"
"nm0000130","Jamie Lee Curtis","1958-11-22"
"nm0413168","Hugh Jackman","1968-10-12"
"nm0005212","Ian McKellen","1939-05-25"
"nm0000463","Famke Janssen","1964-11-05"
"nm0005188","James Marsden","1973-09-18"
"nm0001593","Anna Paquin","1982-07-24"
"nm0005381","Rebecca Romijn","1972-11-06"
"nm0004051","Brian Cox","1946-06-01"
"nm0001086","Alan Cumming","1965-01-27"
"nm0039162","Shawn Ashmore","1979-10-07"
"nm0000630","Liev Schreiber","1967-10-04"
"nm0396812","Danny Huston","1962-05-14"
"nm1211488","Lynn Collins","1977-05-16"
"nm0243806","Kevin Durand","1974-01-14"
"nm0597480","Dominic Monaghan","1976-12-08"
"nm0005351","Ryan Reynolds","1976-10-23"
"nm0760796","Hiroyuki Sanada","1960-10-12"
"nm5148840","Tao Okamoto","1985-05-22"
"nm3822462","Rila Fukushima","1980-01-09"
"nm6748436","Dafne Keen","2005-01-04"
